company,percentage
Allianz,3.06
Apple,1.55
AXA,2.13
Dow Inc,0.60
Mondelez,2.28
Kimberly Clark,1.52
E.ON,1.20
MÃ¼nchen RE,2.65
RWE,0.47
Siemens,1.32
American Electric Power,0.76
Microsoft,1.43
Deutsche Post,1.44
Iberdrola,0.79
Kraft Heinz,0.83
General Mills,1.57
Archer Daniels Midland,0.65
AT&T,1.18
IBM,1.89
Watsco,1.50
American Tower,0.63
Endesa,0.32
Enbridge,0.93
CIBC,1.43
National Grid,1.33
ExxonMobil,0.96
Coca Cola,2.27
Chevron,1.16
Aegon,0.78
CVS Health,0.94
Diageo,1.45
3M,1.19
REE,0.43
Royal Dutch Shell,0.82
Johnson and Johnson,1.91
Blackrock,1.92
Illinois Tool Works,0.76
Kenvue,1.37
Verizon,1.33
Cisco,1.95
Abbvie,1.49
Altria,1.57
Emerson,0.56
JP Morgan Chase,1.79
Texas Instruments,1.87
Unilever,1.67
Deutsche Telekom,1.72
Naturgy,0.66
Realty Income,1.29
Philip Morris,3.31
Pepsi,1.81
Procter and Gamble,1.55
Pfizer,0.92
Merck,1.39
Home Depot,1.66
Stanley Black & Decker,0.67
BATS,1.64
Lockheed Martin,1.55
BMY,1.16
Hershey,1.95
Clorox,1.41
TROW,1.42
General Dynamics,0.83
McDonalds,1.74
Target,1.21
Starbucks,1.71
Rio Tinto,0.84
Blackstone,1.59
Lowe,1.12
Medtronic,0.60
BXMT,0.51
Tyson Foods,0.58
Hormel Foods,0.60
Alphabet,1.09
Blackrock Science Technology,0.84
Reaves Utility Income,0.95
